" Copy"," Copia"
"Action","Acción"
"Add to Queue","Agregar a cola"
"Add New Template","Agregar plantilla nueva"
"Newsletter unsubscription success","Anulación de suscripción exitosa"
"Unsubscribe","Anular Suscripción"
"Unsubscribe Selected","Anular Suscripción seleccionada"
"Customer Lastname","Apellido del Cliente"
"Subject","Asunto"
"Queue Subject","Asunto de Cola"
"Sign me up","¡Inscríbanme!"
"Are you sure that you want to strip all tags?","¿Estás seguro de que desea deshacer todas las etiquetas?"
"Are you sure that you want to delete this template?","¿Estás seguro que desea eliminar esta plantilla?"
"Do you really want to cancel the queue?","¿Realmente desea cancelar la cola?"
"Newsletter","Boletín de noticias"
"Queue Newsletter","Boletín de noticias en Cola"
"Toggle Editor","Cambio de editor"
"Cancelled","Cancelado"
"Cancel","Cancelar"
"Unsubscribed","Cancelar suscripción"
"Invalid subscription confirmation code","Código de confirmación de subscripción inválido"
"Error Code","Código de error"
"Customer","Cliente"
"Queue Information","Cola de Información"
"Newsletter Queue","Cola de tareas del Boletín de noticias"
"Invalid queue selected","Cola Seleccionada inválida"
"Newsletter subscription confirmation","Confirmación de la subscripción al Boletín de noticias"
"Convert to Plain Text","Convertir a texto sin formato"
"Email","Correo electrónico"
"Create Newsletter Template","Crear plantilla para el boletín de noticias"
"Need to Confirm","Debe confirmar"
"Not activated","Desactivado"
"Recipients","Destinatario"
"Duplicate of template code","Duplicar el código de plantilla"
"Sender Email","E-mail del remitente"
"Edit Newsletter","Editar Noticias"
"Form was filled incorrectly","El formulario fue llenado incorrectamente"
"Invalid subscription ID","El ID de la subscripción es inválido"
"Invalid subscriber ID","El ID del subscriptor es inválido"
"Delete Template","Eliminar Plantilla"
"Delete Selected Problems","Eliminar Problemas seleccionados"
"Unsubscription Email Sender","Email del remitente de la anulación de suscripción"
"Success Email Sender","Email del Remitente Exitoso"
"Sending","Envío"
"Sent","Enviados"
"Set Return-Path","Establecer ruta de retorno"
"Status","Estatus"
"Date Updated","Fecha de Actualización"
"Queue Date Start","Fecha de Inicio de Cola"
"Date Added","Fecha en que se agregó"
"Queue Finish","Finalizar Cola"
"Thank you for your subscription","Gracias por su suscripción"
"Save As","Guardar como"
"Save Newsletter","Guardar Noticias"
"Save Template","Guardar plantilla"
"Save And Resume","Guardar y Reanudar"
"There was a problem with the un-subscription.","Hubo un problema al  anular la suscripción."
"There was a problem with the subscription","Hubo un problema con la suscripción"
"There was a problem with the subscription: %s","Hubo un problema con la suscripción: %s"
"ID","ID"
"Template Information","Información de Plantilla"
"Start","Iniciar"
"Queue Start","Inicio en Cola"
"Enter your email address","Introduzca su dirección de correo electrónico"
"Guest","Invitado"
"Confirmation request has been sent","La solicitud de confirmación ha sido enviada"
"The subscription was successfully saved","La suscripción se ha guardado con éxito"
"Message","Mensaje"
"Edit Queue","Modificar Cola"
"Edit Template","Modificar Plantilla"
"Edit Newsletter Template","Modificar Plantilla del Boletín de Noticias"
"No subscribers selected","Ningún suscriptor seleccionado"
"Not Sent","No enviado"
"No Templates Found","No hay plantillas"
"No problems found","No hay problemas"
"Cannot delete subscriber","No se puede eliminar al suscriptor"
"Cannot delete template","No se puede eliminar la plantilla"
"Cannot save your subscription: %s","No se puede guardar su suscripción: %s"
"Cannot mark as received subscriber","No se puede marcar como suscriptor recibido"
"Template Name","Nombre de Plantilla"
"Customer Firstname","Nombre del cliente"
"Sender Name","Nombre del Remitente"
"Sending Options","Opciones de Envío"
"Subscription Options","Opciones de suscripción"
"Pause","Pausa"
"Paused","Pausada"
"Template Content","Plantilla de Contenido"
"Confirmation Email Template","Plantilla de correo electrónico de confirmación"
"Unsubscription Email Template","Plantilla de Email de Anulación de suscripción"
"Success Email Template","Plantilla de Email Exitosa"
"New Template","Plantilla Nueva"
"New Newsletter Template","Plantilla Nueva de Boletín de noticias"
"Newsletter Templates","Plantillas de Boletín de noticias"
"Please enter a valid email address","Por favor introduzca una dirección de email válida"
"Please select subscriber(s)","Por favor seleccione suscriptor(es)"
"Please enter new template name","Por favor, introduzca nombre nuevo de la plantilla"
"Processed","Procesado"
"Resume","Reanudar"
"Newsletter Sign-up","Registrarse al Boletín de noticias"
"Back","Regresar"
"Return Html Version","Regresar a la versión HTML"
"Sender","Remitente"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Newsletter Problem Reports","Reportes de problemas del Boletín de noticias"
"Reset","Restablecer"
"There was an error while saving your subscription","Se ha producido un error al guardar su suscripción"
"Selected problem subscribers successfully unsubscribed","Se han anulado la subscripción de los subscriptores problemáticos seleccionados"
"Selected problems successfully deleted","Se han eliminado los problemas seleccionados"
"Newsletter Subscription","Sección del Boletín de Noticias"
"Newsletter Section","Sección del Boletín de Noticias"
"Template Subject","Sin perjuicio de plantilla"
"Website","Sitio Web"
"You have been successfully unsubscribed.","Su suscripción ha sido anulada con éxito."
"Your subscription was successfully confirmed","Su suscripción se ha confirmado"
"Sign up for our newsletter:","Suscríbase a nuestro boletín de noticias, ingrese su correo:"
"Subscribe","Suscribirse"
"Newsletter subscription success","Suscripción exitosa al Boletín de noticias"
"Newsletter Subscriptions","Suscripciones al Boletín de noticias"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores De"
"Newsletter Subscribers","Suscriptores del Boletín de noticias"
"Subscribed","Suscrito"
"Error Text","Texto de error"
"Store","Tienda"
"Type","Tipo"
"Template Type","Tipo de Plantilla"
"View Newsletter","Ver Boletín de noticias"
"Store View","Vista de la tienda"
"Preview","Vista Previa"
"Preview Template","Vista previa de plantilla"
"Newsletter Message Preview","Vista previa del Boletín de noticias"
