"%s was added to your shopping cart.","%s fue añadido a su carrito de compra."
"%s was updated in your shopping cart.","%s fue actualizado en su carrito de compra."
"&laquo; Back to Select Addresses","&laquo; Regresar a la Dirección Seleccionada"
"&laquo; Back to Billing Information","&laquo; Regresar a la Información de Facturación"
"&laquo; Back to Shopping Cart","&laquo; Regresar al carrito de compra"
"* Required Fields","* Campos requeridos"
"Add New Condition","Añadir condición nueva"
"Easy access to your order history and status","Acceso fácil a su historial de pedidos y su estatus"
"Update Qty &amp; Addresses","Actualizar Cant. y Direcciones"
"Update Shopping Cart","Actualizar carrito de	 compras"
"Update Total","Actualizar total"
"Add to Compare","Agregar a comparar"
"Add to Wishlist","Agregar a la lista de deseos"
"Add to Cart","Agregar al carrito"
"Add New Address","Agregar Dirección Nueva"
"Some of the products you requested are unavailable","Alguno de los productos que solicitó no están disponibles"
"Some of the products you requested are not available in the desired quantity","Algunos de los productos que ha solicitado no tienen la disponibilidad en número que ha solicitado"
"Content Height","Altura del Contenido"
"Content Height (css)","Altura del Contenido (css)"
"Recently added item(s)","Artículo(s) recientemente añandido(s)"
"Items","Artículos"
"Thank you for your purchase!","¡Gracias por su compra!"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de querer eliminar este Artículo del carrito de compra?"
"Already registered?","¿Está usted registrado?"
"Order Success","Éxito del pedido"
"Shopping Cart Sidebar","Barra lateral del Carrito de compra"
"Based on your selection, you may be interested in the following items:","Basados en su selección, tal vez le interesen los siguientes artículos:"
"Zip/Postal Code","C.P./Código postal"
"Street Address ","Calle "
"Change","Cambiar"
"Change Billing Address","Cambiar la dirección de cobro"
"Cancel Coupon","Cancelar cupón"
"Qty","Cantidad"
"Loading next step...","Cargando el siguiente paso..."
"Shopping Cart","Carrito de compra"
"Discount Codes","Códigos de descuento"
"Close","Cerrar"
"Checkbox text","Checkbox texto"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clic <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia de su confirmación de pedido."
"Company","Compañía"
"Fast and easy check out","Compra Fácil y rápida"
"Checkout as Guest","Comprar como  invitado"
"Checkout with Multiple Addresses","Comprar y pagar con múltiples direcciones"
"New Condition","Condición Nueva"
"Checkout Conditions","Condiciones de pago"
"Terms and Conditions","Condiciones y Términos"
"Terms and conditions","Condiciones y Términos"
"Checkout Terms and Conditions","Condiciones y Términos de Pago"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar con la información de cobro"
"Continue to Shipping Information","Continuar con la información de compra"
"Continue to Review Your Order","Continuar revisando su pedido"
"Password","Contraseña"
"Quote Lifetime (days)","Cotizar duración (días)"
"Create Billing Address","Crear dirección de cobro"
"Create Shipping Address","Crear direcciones de envío"
"Customer Address is not valid.","Customer Address is not valid."
"Invalid data","Datos inválidos"
"After adding a product redirect to shopping cart","Después de agregar el producto redirigir al carro de compras"
"Details","Detalles"
"Street Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"Email Address","Dirección de correo electrónico"
"Invalid email address ""%s""","Dirección de Email inválida ""%s"""
"Billing Address","Dirección de Facturación"
"Address","direcciones"
"Shipping Address","direcciones de envío"
"Sorry, no quotes are available for this order at this time.","Disculpa, no hay cotizaciones disponibles para este pedido en este momento."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Disculpe, el pago de invitado no esta habilitado. Por favor, contacte al encargado de la tienda."
"Sorry, Onepage Checkout is disabled.","Disculpe, el pago una página esta inhabilitado."
"Your order # is: <a href=""%s"">%s</a>","El # de su pedido es: <a href=""%s"">%s</a>"
"Shopping Cart is Empty","El carrito de compra está vacío"
"Coupon code ""%s"" is not valid.","El código de cupón ""%s""  no es válido."
"Coupon code was canceled.","El código de cupón fue cancelado correctamente."
"Coupon code ""%s"" was applied.","El código del cupón ""%s"" fue aplicado correctamente."
"Shipping selection is not applicable","El envío seleccionado no es aplicable"
"Shipping method has not been selected yet","El método de envío aún no ha sido seleccionado"
"Payment method is not defined","El método de pago no está definido"
"Your order number is ","El número de su pedido es "
"Product does not exist","El producto no existe"
"Your Checkout Progress","El progreso de su pago"
"Remove item","Eliminar Artículo"
"Delete Condition","Eliminar Condición"
"Payment Failed Email Reciever","Email del receptor para pagos fallidos"
"Payment Failed Email Sender","Email del remitente para pagos fallidos"
"Payment Failed Emails","Emails para pagos fallidos"
"My Cart Link","Enlace a mi carrito"
"Default Shipping","Envío predeterminado"
"Shipping to","Enviando a"
"Send to","Enviar a"
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Ship to Multiple Addresses","Enviar a múltiples direcciones"
"Send Payment Failed Email Copy To","Enviar Copia de Email de Pago Fallido A"
"Submitting order information...","Enviar la información del pedido..."
"Load customer quote error","Error al cargar cotización del cliente"
"State/Province","Estado/Provincia"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y en breve recibirá un Email con los detalles de su pedido. Una vez que su pedido fue enviada, usted recibirá otro correo electrónico con un link para seguir su proceso."
"This condition no longer exists","Estas condiciones ya no existen más"
"Status","Estatus"
"Estimate Shipping and Tax","Calculo Estimado del Servicio de Envío"
"Excl. Tax","Excl. Impuestos"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Existe un cliente registrado usando esta dirección de correo electrónico. Por favor inicia sesión usando esta dirección de correo electrónico o ingresa una diferente para registrar tu cuenta."
"Default Billing","Facturación Predeterminada"
"Please agree to all the terms and conditions before placing the order.","Favor de aceptar todas las condiciones y términos de pago antes de poner su pedido."
"Please agree to all the terms and conditions before placing the order.","Favor de aceptar todas las condiciones y términos de pago antes de poner sus pedidos."
"Please select shipping address for applicable items","Favor de seleccionar la dirección de envío para artículos aplicables"
"Fax","Fax"
"Manage Checkout Terms and Conditions","Gestione Condiciones y Términos de Pago"
"Grand Total:","Gran Total:"
"Save Condition","Guardar Condición"
"Save in address book","Guardar en libreta de direcciones"
"An error occurred in the process of payment","Ha ocurrido un error en durante el proceso de pago"
"Error while deleting this condition. Please try again later.","Ha ocurrido un error mientra se eliminaba esta condición. Intentelo más tarde por favor."
"Error while saving this condition. Please try again later.","Ha ocurrido un error mientra se guardaba esta condición. Intentelo más tarde por favor."
"Enabled","Habilitar"
"Enable Terms and Conditions","Habilitar Condiciones y Términos"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hay <a href=""%s""><strong>%s artículos </strong></a> en su carrito."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hay <a href=""%s""><strong>1 artículo</strong></a> en su carrito."
"HTML","HTML"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor contáctenos o intente mas tarde."
"ID","ID"
"Grouped product image","Imagen de producto agrupado"
"Configurable product image","Imagen del producto configurable"
"Incl. Tax","Incl. Impuestos"
"Terms and Conditions Information","Información de Condiciones y Términos"
"Shipping Information","Información de envío"
"Billing Information","Información de Facturación"
"Billing Information - %s","Información de Facturación - %s"
"Payment Information","Información de pago"
"Place Order","Ingresar Pedido"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene alguno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un estimado del envío."
"Enter a New Address","Ingrese una nueva dirección"
"Disabled","Inhabilitar"
"Disable Onepage Checkout","Inhabilitar una página de pago"
"Login","Iniciar Sesión"
"Maximum qty allowed for Shipping to multiple addresses is %s","La cantidad máxima de envíos para múltiples direcciones es  %s"
"Condition was successfully deleted","La condición fue eliminada exitosamente"
"Condition was successfully saved","La condición fue guardada exitosamente"
"Maximum display Recently added item(s)","Máximo Desplegado de Artículo(s) añadido(s) recientemente"
"Shipping Method","Método de envío"
"Send Payment Failed Email Copy Method","Método de Envío de Copia de Email de Pago Fallido"
"Invalid shipping method.","Método de envío inválido."
"Payment Method","Método de pago"
"Checkout Method","Registro"Please agree to all the terms and conditions before placing the order.
"Shipping Methods","Métodos de envío"
"My Cart","Mi Carrito"
"My Cart (%s items)","Mi carrito (%s artículos)"
"My Cart (%s item)","Mi carrito (%s artículos)"
"My Account","Mi cuenta"
"Edit","Modificar"
"Edit Items","Modificar Artículos"
"Edit Terms and Conditions","Modificar Condiciones y Términos"
"Edit Address","Modificar dirección"
"Edit Billing Address","Modificar dirección de cobro"
"Edit Shipping Address","Modificar Dirección de Envíos"
"Edit Your Cart","Modificar su carrito"
"Display Shopping Cart Sidebar","Mostrar barra lateral del carrito de compra"
"Show Content as","Mostrar contenido como"
"Display Cart Summary","Mostrar el resumen del carrito"
"Display item quantities","Mostrar las cantidades de artículos"
"Display number of items in cart","Mostrar números de artículos en el carrito"
"Move to Wishlist","Mover a la lista de deseos"
"Card Verification Number Visual Reference","Número de verificación visual de la Tarjeta"
"Can not add item to shopping cart","No puede agregar un artículo al carrito de compras"
"Can't open overview page","No se puede abrir la página general"
"Cannot update shopping cart","No se puede actualizar el carrito de compras"
"Can not apply coupon code.","No se puede aplicar un código de cupón."
"Cannot remove item","No se puede quitar el artículo"
"Condition Name","Nombre de Condición"
"Product Name","Nombre del producto"
"New Address","Nuevas direcciones"
"Get a Quote","Obtenga una cotización"
"Forgot your password?","¿Olvidó su  contraseña?"
"Forgot an Item?","¿Olvidó un artículo?"
"Checkout Options","opciones de Pago"
"Other items in your order","Otros artículos en su pedido"
"Country","País"
"Checkout as a Guest or Register","Pagar como Invitado o Regístrese"
"Checkout","Pasar a Pagar"
"Order #","Pedido #"
"osCommerce Orders","Pedidos osCommerce"
"Allow Guest Checkout","Permitir comprar a los clientes"
"Payment Failed Template","Plantilla de pagos fallidos"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continuar comprando</a>."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 55000 o 90602-1234."
"Please log in below:","Por favor inicie sesión debajo:"
"Please select region, state or province","Por favor seleccione la región, estado o provincia"
"Please select shipping methods for all addresses","Por favor seleccione métodos de envío para todas las direcciones"
"Price","Precio"
"Unit Price","Precio Unitario"
"Data saving problem","Problema guardando los datos"
"Proceed to Checkout","Pasar a pagar"
"Product","Producto"
"Remove","Quitar"
"Remove Item","Quitar Artículos"
"Remove Product","Quitar producto"
"Apply Coupon","Redimir cupón"
"Register with us for future convenience:","Regístrese con nosotros para una mejor conveniencia:"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register","Registrar"
"Back","Regresar"
"Back to Shipping Information","Regresar a la información de envío"
"Order Review","Reseña del Pedido"
"Review Order","Revisar pedido"
"Review Order - %s","Revisar pedido - %s"
"Checkout Section","Sección de pago"
"Select State/Province...","Seleccionar el Estado/Provincia..."
"Select Shipping Method","Seleccionar métodos de envío"
"Select Addresses","Seleccione direcciones"
"Select Address","Seleccione una dirección"
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de cobro de su libreta de direcciones o ingrese una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o ingrese una nueva"
"separate by "",""","separado por "","""
"Your order # is: %s.","Su número de pedido es: %s."
"Your order has been received.”,”Su pedido ha sido recibido"
"Subtotal","Subtotal"
"Cart Subtotal:","Subtotal del carrito:"
"Telephone","Teléfono"
"Text","Texto"
"Total","Total"
"Total for this address","Total para esta direccíon"
"Use Billing Address","Usar dirección de cobro"
"You have no items in your shopping cart.","Usted no tiene artículos en su carrito de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Usted recibirá un Email confirmando el pedido con los detalles y un enlace para seguir su proceso."
"Sales","Ventas"
"Store View","Vista de tienda"
"BAG","Mi Carrito"
"View Cart","Ver Carrito"
"Continue to Checkout","Pasar a pagar"
"Your order has been received.","Tu orden ha sido recibida."
"My Wishlist ","Lista de Deseos"
"My Wishlist","Lista de Deseos"
"Card type does not match credit card number.","EL tipo de tarjeta no coincide con el número de tarjeta de crédito."
"Incorrect credit card expiration date.","Fecha de expiración incorrecta"
"Quote item is not found.","No se encontró cotización para este artículo."
"What is PayPal?","¿Qué es Paypal?"
"You will be redirected to the PayPal website when you place an order.","Usted será redirigido a la página web de PayPal para realizar su pago."
"Bank Transfer Payment ","Transferencia Bancaria."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Tu orden no puede ser completada en este momento, no hay envíos disponibles en la dirección que solicitas. Por favor has los cambios necesarios en la dirección de envío."
"You will be redirected to the PayPal website.","Usted será redirigido a la página web de PayPal para realizar su pago."
"Express Checkout has been canceled.","El pago Express ha sido cancelado"